Accuracy: 0.4402, lambda: 2.750907120871825e-07, eta: 0.01505125763086477
Accuracy: 0.4252, lambda: 5.007777223306513e-08, eta: 0.0027051029141944723
Accuracy: 0.425, lambda: 3.9062685819050015e-08, eta: 0.0029375480174946085
Accuracy: 0.425, lambda: 5.501445331820034e-07, eta: 0.0197101497706305
Accuracy: 0.4246, lambda: 8.499459679621145e-08, eta: 0.003270780140622159
Accuracy: 0.4246, lambda: 2.384829508390595e-08, eta: 0.003239524613686422
Accuracy: 0.4245, lambda: 7.904948067223824e-05, eta: 0.002756630055403969
Accuracy: 0.4233, lambda: 5.0569237279517164e-05, eta: 0.002768585718998286
Accuracy: 0.4228, lambda: 4.3678305410902105e-05, eta: 0.01945085300329708
Accuracy: 0.4227, lambda: 1.496061128917106e-06, eta: 0.018621960038011816
Accuracy: 0.4219, lambda: 4.626524229431257e-06, eta: 0.0024797492417101847
Accuracy: 0.4217, lambda: 2.6362405250243825e-07, eta: 0.002510539467546366
Accuracy: 0.4214, lambda: 1.9235018672589774e-07, eta: 0.002319283536634072
Accuracy: 0.4212, lambda: 4.875254132883586e-08, eta: 0.0024377448695749046
Accuracy: 0.4208, lambda: 1.6821797505884897e-06, eta: 0.01865422766876105
Accuracy: 0.4206, lambda: 1.0489897218476065e-06, eta: 0.0022296022989470228
Accuracy: 0.4203, lambda: 4.623756782503532e-07, eta: 0.02163651240333063
Accuracy: 0.4196, lambda: 1.1278723610912095e-05, eta: 0.029903638004280225
Accuracy: 0.4196, lambda: 6.568091240675534e-05, eta: 0.002096291110156923
Accuracy: 0.4191, lambda: 5.499373167495583e-08, eta: 0.0023791860891625846
Accuracy: 0.419, lambda: 3.1077949116416304e-06, eta: 0.0022239693002215895
Accuracy: 0.4186, lambda: 5.962944452976284e-07, eta: 0.02674321411340744
Accuracy: 0.4184, lambda: 1.6795426403656477e-06, eta: 0.002104931097584707
Accuracy: 0.4179, lambda: 5.490776078594993e-06, eta: 0.0021168980371167765
Accuracy: 0.4177, lambda: 1.743637499478371e-08, eta: 0.0019770879993567486
Accuracy: 0.4174, lambda: 2.747524742079614e-06, eta: 0.0019863265236073997
Accuracy: 0.417, lambda: 3.6582285425854064e-08, eta: 0.020803172095251073
Accuracy: 0.4167, lambda: 6.206405695607745e-06, eta: 0.001955818694835767
Accuracy: 0.4165, lambda: 1.2197007504611822e-07, eta: 0.02070987876022962
Accuracy: 0.416, lambda: 2.604527405246737e-07, eta: 0.031494969965423995
Accuracy: 0.4155, lambda: 4.1781238651890306e-08, eta: 0.027266966628911194
Accuracy: 0.4153, lambda: 1.3824178673141097e-05, eta: 0.0018151630113130725
Accuracy: 0.4138, lambda: 9.915640547611701e-05, eta: 0.0016835715549858026
Accuracy: 0.4136, lambda: 2.9121195126936284e-08, eta: 0.0017438571401270702
Accuracy: 0.413, lambda: 1.8179135233175e-07, eta: 0.027562760849090012
Accuracy: 0.4127, lambda: 3.2973614705126856e-07, eta: 0.029300899045383293
Accuracy: 0.4125, lambda: 8.156207908576624e-06, eta: 0.001699454511705165
Accuracy: 0.4125, lambda: 2.3940395840309324e-07, eta: 0.0016902407636990048
Accuracy: 0.4122, lambda: 3.017286408790675e-05, eta: 0.02917457798009224
Accuracy: 0.411, lambda: 4.805248024843985e-07, eta: 0.02558472651377436
Accuracy: 0.411, lambda: 4.1118028198183746e-05, eta: 0.021896490150599676
Accuracy: 0.4106, lambda: 1.0626419255413943e-05, eta: 0.0016419923439636177
Accuracy: 0.4102, lambda: 1.3024052804605897e-05, eta: 0.0015907703513335755
Accuracy: 0.4099, lambda: 1.4437128270704494e-05, eta: 0.0015436206608267899
Accuracy: 0.4089, lambda: 1.513850819556374e-05, eta: 0.03060444348806735
Accuracy: 0.4085, lambda: 3.3197631055504844e-06, eta: 0.02233610435190243
Accuracy: 0.4074, lambda: 1.3172176336590824e-05, eta: 0.0014984953367154555
Accuracy: 0.407, lambda: 1.276289976898806e-06, eta: 0.0014418465078461203
Accuracy: 0.4069, lambda: 2.059868858900769e-08, eta: 0.00147916378414498
Accuracy: 0.4066, lambda: 2.1900224573472652e-05, eta: 0.0014217467517851437
Accuracy: 0.4065, lambda: 5.095858142432743e-06, eta: 0.036471887785264064
Accuracy: 0.4052, lambda: 6.020143021782601e-05, eta: 0.024844792939796568
Accuracy: 0.4042, lambda: 6.813577228813919e-07, eta: 0.0013151705506859385
Accuracy: 0.4038, lambda: 1.310124799823624e-07, eta: 0.03729687283315399
Accuracy: 0.4033, lambda: 7.344504028281891e-07, eta: 0.046308186547909656
Accuracy: 0.4029, lambda: 8.948429668162349e-07, eta: 0.0012422433963462228
Accuracy: 0.4016, lambda: 3.533230203256023e-06, eta: 0.04845014999051373
Accuracy: 0.4009, lambda: 1.422446497170074e-05, eta: 0.05791736151081603
Accuracy: 0.4002, lambda: 2.6996054770305735e-07, eta: 0.001169235412156863
Accuracy: 0.4001, lambda: 1.060462198603115e-05, eta: 0.03891713899078766
Accuracy: 0.3998, lambda: 1.1575066368668767e-06, eta: 0.05743945702470974
Accuracy: 0.3996, lambda: 8.423482292184224e-07, eta: 0.0602197530530139
Accuracy: 0.3996, lambda: 2.457315704746778e-06, eta: 0.0011867865158435187
Accuracy: 0.3976, lambda: 3.2108176023101e-05, eta: 0.0010672885951444981
Accuracy: 0.3965, lambda: 7.08400696380424e-07, eta: 0.06073584747671056
Accuracy: 0.3964, lambda: 5.34241766539216e-07, eta: 0.0010357049615829764
Accuracy: 0.3959, lambda: 8.805207047716252e-07, eta: 0.04109919890303183
Accuracy: 0.3959, lambda: 5.287735902968601e-06, eta: 0.0010092034311662223
Accuracy: 0.3952, lambda: 1.244933441045809e-08, eta: 0.057652613602244024
Accuracy: 0.3944, lambda: 2.0611096443216986e-07, eta: 0.05650161674289863
Accuracy: 0.3944, lambda: 1.2711242012538306e-06, eta: 0.04842771258085166
Accuracy: 0.393, lambda: 1.6653825001711576e-06, eta: 0.04184316930524289
Accuracy: 0.392, lambda: 1.2174935800649741e-08, eta: 0.0645828241329748
Accuracy: 0.3898, lambda: 5.106137544641107e-07, eta: 0.05589576791687029
Accuracy: 0.3879, lambda: 1.064994525068609e-05, eta: 0.0449206159778317
Accuracy: 0.3875, lambda: 1.5059983319943004e-05, eta: 0.06391446674289832
Accuracy: 0.3863, lambda: 1.483862258076416e-07, eta: 0.05020823775289618
Accuracy: 0.3862, lambda: 1.8313170609014454e-05, eta: 0.08900912339341711
Accuracy: 0.3853, lambda: 1.2054910474025022e-06, eta: 0.050240270229011605
Accuracy: 0.3849, lambda: 8.686621362480521e-05, eta: 0.04634664412382561
Accuracy: 0.3843, lambda: 1.1074772296644148e-07, eta: 0.04495632687016955
Accuracy: 0.3841, lambda: 7.90588320256834e-05, eta: 0.07176004975966238
Accuracy: 0.3834, lambda: 8.225267817350934e-07, eta: 0.06996377778339147
Accuracy: 0.382, lambda: 1.68150287535187e-08, eta: 0.05149180421880275
Accuracy: 0.3815, lambda: 6.808871479551033e-06, eta: 0.08948415551335843
Accuracy: 0.3814, lambda: 1.1427980620442102e-08, eta: 0.07544224918682256
Accuracy: 0.3807, lambda: 3.510801977899773e-07, eta: 0.07206549335922749
Accuracy: 0.3793, lambda: 2.6452530910813563e-06, eta: 0.09619988293536691
Accuracy: 0.379, lambda: 8.744028610949901e-05, eta: 0.07376697446853807
Accuracy: 0.3778, lambda: 2.3147171702993063e-08, eta: 0.074431307625252
Accuracy: 0.3763, lambda: 1.66037138034111e-08, eta: 0.06886311850465403
Accuracy: 0.3758, lambda: 1.5542507686133714e-05, eta: 0.09635936603342855
Accuracy: 0.3749, lambda: 2.2641180905768326e-06, eta: 0.08945976296193069
Accuracy: 0.3685, lambda: 4.644510958234475e-08, eta: 0.0783739391998242
Accuracy: 0.3619, lambda: 1.3161695182072917e-07, eta: 0.09498711448946859
Accuracy: 0.3591, lambda: 2.9489006907633667e-08, eta: 0.09388551985819359
